step,suceptible_status,infected_status,recovered_status,vaccinated_status
423,41,959,0,0
424,40,960,0,0
425,38,962,0,0
426,37,963,0,0
427,36,964,0,0
428,33,967,0,0
429,32,968,0,0
430,32,968,0,0
431,31,969,0,0
432,30,970,0,0
433,30,970,0,0
434,29,971,0,0
435,28,972,0,0
436,28,972,0,0
437,27,973,0,0
438,24,976,0,0
439,24,976,0,0
440,23,977,0,0
441,23,977,0,0
442,21,979,0,0
443,21,979,0,0
444,20,980,0,0
445,20,980,0,0
446,20,980,0,0
447,20,980,0,0
448,19,981,0,0
449,19,981,0,0
450,19,981,0,0
451,18,982,0,0
452,18,982,0,0
453,17,983,0,0
454,17,983,0,0
455,16,984,0,0
456,16,984,0,0
457,16,984,0,0
458,16,984,0,0
459,16,984,0,0
460,16,984,0,0
461,14,986,0,0
462,11,989,0,0
463,11,989,0,0
464,11,989,0,0
465,11,989,0,0
466,10,990,0,0
467,10,990,0,0
468,9,991,0,0
469,9,991,0,0
470,7,993,0,0
471,7,993,0,0
472,6,994,0,0
473,6,994,0,0
474,6,994,0,0
475,6,994,0,0
476,6,994,0,0
477,6,994,0,0
478,6,994,0,0
479,6,994,0,0
480,6,994,0,0
481,6,994,0,0
482,5,995,0,0
483,4,996,0,0
484,4,996,0,0
485,4,996,0,0
486,4,996,0,0
487,4,996,0,0
488,3,997,0,0
489,3,997,0,0
490,3,997,0,0
491,3,997,0,0
492,3,997,0,0
493,3,997,0,0
494,3,997,0,0
495,3,997,0,0
496,3,997,0,0
497,3,997,0,0
498,3,997,0,0
499,3,997,0,0
500,3,997,0,0
501,3,997,0,0
502,3,997,0,0
503,3,997,0,0
504,3,997,0,0
505,3,997,0,0
506,3,997,0,0
507,3,997,0,0
508,3,997,0,0
509,3,997,0,0
510,3,997,0,0
511,3,997,0,0
512,2,998,0,0
513,2,998,0,0
514,2,998,0,0
515,2,998,0,0
516,2,998,0,0
517,2,998,0,0
518,2,998,0,0
519,1,999,0,0
520,1,999,0,0
521,1,999,0,0
522,1,999,0,0
523,1,999,0,0
524,0,1000,0,0
525,0,1000,0,0
526,0,1000,0,0
527,0,1000,0,0
528,0,1000,0,0
529,0,1000,0,0
530,0,1000,0,0
531,0,1000,0,0
532,0,1000,0,0
533,0,1000,0,0
534,0,1000,0,0
535,0,1000,0,0
536,0,1000,0,0
537,0,1000,0,0
538,0,1000,0,0
539,0,1000,0,0
540,0,1000,0,0
541,0,1000,0,0
542,0,1000,0,0
