step,suceptible_status,infected_status,recovered_status,vaccinated_status
437,22,978,0,0
438,21,979,0,0
439,21,979,0,0
440,20,980,0,0
441,19,981,0,0
442,16,984,0,0
443,16,984,0,0
444,13,987,0,0
445,12,988,0,0
446,11,989,0,0
447,11,989,0,0
448,11,989,0,0
449,11,989,0,0
450,10,990,0,0
451,10,990,0,0
452,10,990,0,0
453,10,990,0,0
454,10,990,0,0
455,9,991,0,0
456,8,992,0,0
457,8,992,0,0
458,8,992,0,0
459,8,992,0,0
460,7,993,0,0
461,6,994,0,0
462,6,994,0,0
463,5,995,0,0
464,5,995,0,0
465,4,996,0,0
466,4,996,0,0
467,4,996,0,0
468,4,996,0,0
469,4,996,0,0
470,4,996,0,0
471,4,996,0,0
472,4,996,0,0
473,4,996,0,0
474,4,996,0,0
475,4,996,0,0
476,4,996,0,0
477,4,996,0,0
478,4,996,0,0
479,4,996,0,0
480,4,996,0,0
481,4,996,0,0
482,4,996,0,0
483,4,996,0,0
484,4,996,0,0
485,4,996,0,0
486,4,996,0,0
487,3,997,0,0
488,3,997,0,0
489,3,997,0,0
490,3,997,0,0
491,3,997,0,0
492,3,997,0,0
493,3,997,0,0
494,2,998,0,0
495,2,998,0,0
496,2,998,0,0
497,2,998,0,0
498,2,998,0,0
499,2,998,0,0
500,2,998,0,0
501,2,998,0,0
502,2,998,0,0
503,2,998,0,0
504,2,998,0,0
505,2,998,0,0
506,2,998,0,0
507,2,998,0,0
508,2,998,0,0
509,2,998,0,0
510,2,998,0,0
511,2,998,0,0
512,2,998,0,0
513,2,998,0,0
514,2,998,0,0
515,2,998,0,0
516,2,998,0,0
517,2,998,0,0
518,2,998,0,0
519,2,998,0,0
520,2,998,0,0
521,2,998,0,0
522,2,998,0,0
523,2,998,0,0
524,2,998,0,0
525,2,998,0,0
526,2,998,0,0
527,2,998,0,0
528,2,998,0,0
529,1,999,0,0
530,1,999,0,0
531,1,999,0,0
532,1,999,0,0
533,1,999,0,0
534,1,999,0,0
535,1,999,0,0
536,1,999,0,0
537,1,999,0,0
538,1,999,0,0
539,1,999,0,0
540,1,999,0,0
541,1,999,0,0
542,1,999,0,0
543,1,999,0,0
544,1,999,0,0
545,1,999,0,0
546,1,999,0,0
547,1,999,0,0
548,1,999,0,0
549,1,999,0,0
550,1,999,0,0
551,1,999,0,0
552,1,999,0,0
553,1,999,0,0
554,1,999,0,0
555,1,999,0,0
556,1,999,0,0
557,1,999,0,0
558,1,999,0,0
559,1,999,0,0
560,1,999,0,0
561,1,999,0,0
562,1,999,0,0
563,1,999,0,0
564,1,999,0,0
565,1,999,0,0
566,1,999,0,0
567,1,999,0,0
568,1,999,0,0
569,1,999,0,0
570,0,1000,0,0
571,0,1000,0,0
572,0,1000,0,0
573,0,1000,0,0
574,0,1000,0,0
575,0,1000,0,0
576,0,1000,0,0
577,0,1000,0,0
578,0,1000,0,0
579,0,1000,0,0
580,0,1000,0,0
581,0,1000,0,0
582,0,1000,0,0
583,0,1000,0,0
584,0,1000,0,0
585,0,1000,0,0
586,0,1000,0,0
587,0,1000,0,0
588,0,1000,0,0
589,0,1000,0,0
590,0,1000,0,0
591,0,1000,0,0
592,0,1000,0,0
593,0,1000,0,0
594,0,1000,0,0
595,0,1000,0,0
596,0,1000,0,0
597,0,1000,0,0
598,0,1000,0,0
599,0,1000,0,0
600,0,1000,0,0
601,0,1000,0,0
602,0,1000,0,0
603,0,1000,0,0
604,0,1000,0,0
605,0,1000,0,0
606,0,1000,0,0
607,0,1000,0,0
608,0,1000,0,0
609,0,1000,0,0
610,0,1000,0,0
611,0,1000,0,0
612,0,1000,0,0
613,0,1000,0,0
614,0,1000,0,0
615,0,1000,0,0
616,0,1000,0,0
617,0,1000,0,0
618,0,1000,0,0
619,0,1000,0,0
620,0,1000,0,0
621,0,1000,0,0
622,0,1000,0,0
623,0,1000,0,0
624,0,1000,0,0
625,0,1000,0,0
626,0,1000,0,0
627,0,1000,0,0
628,0,1000,0,0
629,0,1000,0,0
630,0,1000,0,0
631,0,1000,0,0
632,0,1000,0,0
633,0,1000,0,0
634,0,1000,0,0
635,0,1000,0,0
636,0,1000,0,0
637,0,1000,0,0
638,0,1000,0,0
639,0,1000,0,0
640,0,1000,0,0
641,0,1000,0,0
642,0,1000,0,0
643,0,1000,0,0
644,0,1000,0,0
645,0,1000,0,0
646,0,1000,0,0
647,0,1000,0,0
648,0,1000,0,0
649,0,1000,0,0
650,0,1000,0,0
651,0,1000,0,0
652,0,1000,0,0
653,0,1000,0,0
654,0,1000,0,0
655,0,1000,0,0
656,0,1000,0,0
657,0,1000,0,0
658,0,1000,0,0
659,0,1000,0,0
660,0,1000,0,0
661,0,1000,0,0
662,0,1000,0,0
663,0,1000,0,0
664,0,1000,0,0
665,0,1000,0,0
666,0,1000,0,0
667,0,1000,0,0
668,0,1000,0,0
669,0,1000,0,0
670,0,1000,0,0
671,0,1000,0,0
672,0,1000,0,0
673,0,1000,0,0
674,0,1000,0,0
675,0,1000,0,0
676,0,1000,0,0
677,0,1000,0,0
678,0,1000,0,0
679,0,1000,0,0
680,0,1000,0,0
681,0,1000,0,0
682,0,1000,0,0
683,0,1000,0,0
684,0,1000,0,0
685,0,1000,0,0
686,0,1000,0,0
687,0,1000,0,0
688,0,1000,0,0
689,0,1000,0,0
690,0,1000,0,0
691,0,1000,0,0
692,0,1000,0,0
693,0,1000,0,0
694,0,1000,0,0
695,0,1000,0,0
696,0,1000,0,0
697,0,1000,0,0
698,0,1000,0,0
699,0,1000,0,0
700,0,1000,0,0
701,0,1000,0,0
702,0,1000,0,0
703,0,1000,0,0
704,0,1000,0,0
705,0,1000,0,0
706,0,1000,0,0
707,0,1000,0,0
708,0,1000,0,0
709,0,1000,0,0
710,0,1000,0,0
711,0,1000,0,0
712,0,1000,0,0
713,0,1000,0,0
714,0,1000,0,0
715,0,1000,0,0
716,0,1000,0,0
717,0,1000,0,0
718,0,1000,0,0
719,0,1000,0,0
720,0,999,1,0
721,0,999,1,0
722,0,999,1,0
723,0,999,1,0
724,0,999,1,0
725,0,999,1,0
726,0,999,1,0
727,0,999,1,0
728,0,999,1,0
729,0,999,1,0
730,0,999,1,0
731,0,999,1,0
